GEMSTONE_MAIN_CATEGORY,GEMSTONE_SUB_CATEGORY,GEMSTONE_CLASSIFICATION,GEMSTONE_NAME
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Diaspore
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Dickinsonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Diopside
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Dioptase
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Dolomite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Dumortierite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Ekanite
Gemstones,Lab-Created Precious,Lab-Created Emerald,Lab-Created Emerald
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Enstatite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Eopshorite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Epidote
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Ettringite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Euclase
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Eudialyte
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Euxenite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Feldspar
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Fergusonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Fluorite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Friedelite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Gadolinite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Gahnospinel
Gemstones,Lab-Created Semi-Precious,Lab-Created Garnet,Lab-Created Garnet
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Gaylussite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Goldstone
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Goshenite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Grandidierite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Green Beryl
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Greenovite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Grossular 
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Gypsum
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hackmanite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hambergite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hauyne
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Haüyne
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Heliodor
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hematite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hemimorphite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Herderite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hessonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hiddenite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hodgkinsonite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Holtite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Howlite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Hübnerite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Huebnerite
Gemstones,Lab-Created Semi-Precious,Lab-Created Other,Lab-Created Humite
